year,homeTeam,awayTeam,homeGoals,awayGoals,result,homeWinProb,drawProb,awayWinProb,outcomeProb
2014,West Ham,West Brom,3,3,D,0.4111,0.2878,0.3011,0.2878
2014,Norwich,Newcastle,0,0,D,0.3625,0.2879,0.3496,0.2879
2014,Stoke,Cardiff,0,0,D,0.4667,0.2883,0.245,0.2883
2014,Cardiff,Stoke,1,1,D,0.3942,0.2932,0.3127,0.2932
2014,Stoke,Everton,1,1,D,0.2429,0.2944,0.4627,0.2944
2014,Aston Villa,Swansea,1,1,D,0.3241,0.2946,0.3813,0.2946
2014,Crystal Palace,Norwich,1,1,D,0.4094,0.2953,0.2953,0.2953
2014,Norwich,Stoke,1,1,D,0.4335,0.2956,0.2709,0.2956
2014,Sunderland,Crystal Palace,0,0,D,0.454,0.2958,0.2503,0.2958
2014,Hull,Aston Villa,0,0,D,0.3987,0.296,0.3053,0.296
2014,Sunderland,Southampton,2,2,D,0.3053,0.296,0.3987,0.296
2014,Hull,Newcastle,1,4,A,0.3987,0.3053,0.296,0.296
2014,Stoke,West Brom,0,0,D,0.4248,0.2961,0.2791,0.2961
2014,Hull,Stoke,0,0,D,0.4248,0.2961,0.2791,0.2961
2014,Stoke,Southampton,1,1,D,0.2963,0.2963,0.4074,0.2963
2014,Tottenham,Chelsea,1,1,D,0.3629,0.2969,0.3402,0.2969
2014,Norwich,Swansea,1,1,D,0.3402,0.2969,0.3629,0.2969
2014,Crystal Palace,West Ham,1,0,H,0.2995,0.295,0.4056,0.2995
2014,Norwich,West Brom,0,1,A,0.4056,0.295,0.2995,0.2995
2014,Hull,Cardiff,1,1,D,0.3988,0.3006,0.3006,0.3006
2014,Cardiff,Crystal Palace,0,3,A,0.3988,0.3006,0.3006,0.3006
2014,Stoke,Swansea,1,1,D,0.3621,0.3008,0.3371,0.3008
2014,Cardiff,Sunderland,2,2,D,0.4111,0.3011,0.2878,0.3011
2014,West Brom,Southampton,0,1,A,0.4072,0.2874,0.3054,0.3054
2014,Norwich,Aston Villa,0,1,A,0.4072,0.2874,0.3054,0.3054
2014,West Ham,Southampton,3,1,H,0.3054,0.2874,0.4072,0.3054
2014,Cardiff,Newcastle,1,2,A,0.3983,0.287,0.3148,0.3148
2014,Norwich,Southampton,1,0,H,0.3241,0.2946,0.3813,0.3241
2014,Southampton,Tottenham,2,3,A,0.3813,0.2946,0.3241,0.3241
2014,Tottenham,Liverpool,0,5,A,0.3893,0.2863,0.3244,0.3244
2014,Swansea,Southampton,0,1,A,0.3893,0.2863,0.3244,0.3244
2014,Sunderland,Newcastle,2,1,H,0.3354,0.2948,0.3698,0.3354
2014,West Ham,Swansea,2,0,H,0.3369,0.2873,0.3758,0.3369
2014,Fulham,Newcastle,1,0,H,0.3369,0.2873,0.3758,0.3369
2014,Man United,Liverpool,0,3,A,0.3912,0.2716,0.3372,0.3372
2014,Cardiff,Hull,0,4,A,0.3553,0.3054,0.3393,0.3393
2014,Southampton,Everton,2,0,H,0.3476,0.2781,0.3743,0.3476
2014,Crystal Palace,Fulham,1,4,A,0.3552,0.296,0.3488,0.3488
2014,Crystal Palace,Cardiff,2,0,H,0.3488,0.296,0.3552,0.3488
2014,West Brom,Swansea,0,2,A,0.3625,0.2879,0.3496,0.3496
2014,Fulham,Aston Villa,2,0,H,0.3552,0.296,0.3488,0.3552
2014,Hull,Swansea,1,0,H,0.3552,0.296,0.3488,0.3552
2014,Newcastle,Swansea,1,2,A,0.3561,0.2838,0.3602,0.3602
2014,Norwich,West Ham,3,1,H,0.3698,0.2948,0.3354,0.3698
2014,Liverpool,Man United,1,0,H,0.3722,0.2879,0.3399,0.3722
2014,Cardiff,West Brom,1,0,H,0.3722,0.2879,0.3399,0.3722
2014,West Brom,Newcastle,1,0,H,0.3749,0.2867,0.3384,0.3749
2014,Hull,Southampton,0,1,A,0.325,0.3,0.375,0.375
2014,Crystal Palace,Sunderland,3,1,H,0.3767,0.2968,0.3265,0.3767
2014,Aston Villa,West Brom,4,3,H,0.3767,0.2968,0.3265,0.3767
2014,Crystal Palace,West Brom,3,1,H,0.3767,0.2968,0.3265,0.3767
2014,Swansea,Everton,1,2,A,0.3244,0.2863,0.3893,0.3893
2014,West Ham,Newcastle,1,3,A,0.3244,0.2863,0.3893,0.3893
2014,Everton,Arsenal,3,0,H,0.3893,0.2863,0.3244,0.3893
2014,Fulham,West Ham,2,1,H,0.39,0.2955,0.3145,0.39
2014,Aston Villa,Hull,3,1,H,0.39,0.2955,0.3145,0.39
2014,Everton,Man United,2,0,H,0.3902,0.2754,0.3344,0.3902
2014,Crystal Palace,Hull,1,0,H,0.3902,0.3049,0.3049,0.3902
2014,Hull,Norwich,1,0,H,0.3983,0.287,0.3148,0.3983
2014,Tottenham,Arsenal,0,1,A,0.3148,0.287,0.3983,0.3983
2014,Liverpool,Man City,3,2,H,0.3989,0.2641,0.337,0.3989
2014,Norwich,Hull,1,0,H,0.4056,0.295,0.2995,0.4056
2014,West Ham,Everton,2,3,A,0.2963,0.2963,0.4074,0.4074
2014,Fulham,Stoke,1,0,H,0.4074,0.2963,0.2963,0.4074
2014,West Ham,Hull,2,1,H,0.4074,0.2963,0.2963,0.4074
2014,Swansea,Arsenal,1,2,A,0.3043,0.2864,0.4092,0.4092
2014,Chelsea,Man City,2,1,H,0.4092,0.2864,0.3043,0.4092
2014,Stoke,Tottenham,0,1,A,0.3043,0.2864,0.4092,0.4092
2014,Hull,West Ham,1,0,H,0.4094,0.2953,0.2953,0.4094
2014,Fulham,Swansea,1,2,A,0.2953,0.2953,0.4094,0.4094
2014,Cardiff,Southampton,0,3,A,0.2953,0.2953,0.4094,0.4094
2014,Crystal Palace,Newcastle,0,3,A,0.3011,0.2878,0.4111,0.4111
2014,Swansea,Tottenham,1,3,A,0.3011,0.2878,0.4111,0.4111
2014,Man United,Arsenal,1,0,H,0.4157,0.2791,0.3053,0.4157
2014,Crystal Palace,Stoke,1,0,H,0.4157,0.3053,0.2791,0.4157
2014,Cardiff,Fulham,3,1,H,0.4157,0.2791,0.3053,0.4157
2014,Stoke,Aston Villa,2,1,H,0.4229,0.2993,0.2779,0.4229
2014,Newcastle,Tottenham,0,4,A,0.2961,0.2791,0.4248,0.4248
2014,Arsenal,Liverpool,2,0,H,0.4248,0.2791,0.2961,0.4248
2014,Aston Villa,Everton,0,2,A,0.2875,0.2875,0.425,0.425
2014,Cardiff,Norwich,2,1,H,0.425,0.2875,0.2875,0.425
2014,Stoke,Fulham,4,1,H,0.4262,0.2723,0.3016,0.4262
2014,Stoke,West Ham,3,1,H,0.4335,0.2956,0.2709,0.4335
2014,Hull,West Brom,2,0,H,0.4335,0.2956,0.2709,0.4335
2014,Crystal Palace,Swansea,0,2,A,0.2789,0.2871,0.4339,0.4339
2014,Tottenham,Southampton,3,2,H,0.4339,0.2871,0.2789,0.4339
2014,Newcastle,Everton,0,3,A,0.2789,0.2871,0.4339,0.4339
2014,Man City,Man United,4,1,H,0.4428,0.2865,0.2706,0.4428
2014,Fulham,Southampton,0,3,A,0.2706,0.2865,0.4428,0.4428
2014,Liverpool,Arsenal,5,1,H,0.4428,0.2706,0.2865,0.4428
2014,Swansea,Newcastle,3,0,H,0.443,0.2785,0.2785,0.443
2014,Chelsea,Liverpool,2,1,H,0.443,0.2785,0.2785,0.443
2014,Norwich,Sunderland,2,0,H,0.4438,0.2959,0.2604,0.4438
2014,Fulham,Norwich,1,0,H,0.4522,0.2778,0.2701,0.4522
2014,Man United,Man City,0,3,A,0.2778,0.2701,0.4522,0.4522
2014,Newcastle,Fulham,1,0,H,0.4534,0.2867,0.2599,0.4534
